Test ID,Error Type,Caught,Correct Behavior,Repaired,Repair Success
0,Valid,False,True,False,False
1,Valid,False,True,False,False
2,Valid,False,True,False,False
3,Valid,False,True,False,False
4,Valid,False,True,False,False
5,Valid,False,True,False,False
6,Valid,False,True,False,False
7,Valid,False,True,False,False
8,Valid,False,True,False,False
9,Valid,False,True,False,False
10,Valid,False,True,False,False
11,Valid,False,True,False,False
12,Hallucination,True,True,True,True
13,Hallucination,True,True,True,True
14,Valid,False,True,False,False
15,Valid,False,True,False,False
16,Valid,False,True,False,False
17,Valid,False,True,False,False
18,Hallucination,True,True,True,True
19,Valid,False,True,False,False
20,Valid,False,True,False,False
21,Valid,False,True,False,False
22,Valid,False,True,False,False
23,Valid,False,True,False,False
24,Valid,False,True,False,False
25,Valid,False,True,False,False
26,Valid,False,True,False,False
27,Valid,False,True,False,False
28,Valid,False,True,False,False
29,Hallucination,True,True,True,True
30,Valid,False,True,False,False
31,Valid,False,True,False,False
32,Valid,False,True,False,False
33,Valid,False,True,False,False
34,Valid,False,True,False,False
35,Valid,False,True,False,False
36,Valid,False,True,False,False
37,Valid,False,True,False,False
38,Valid,False,True,False,False
39,Valid,False,True,False,False
40,Valid,False,True,False,False
41,Valid,False,True,False,False
42,Hallucination,True,True,True,True
43,Valid,False,True,False,False
44,Valid,False,True,False,False
45,Valid,False,True,False,False
46,Valid,False,True,False,False
47,Valid,False,True,False,False
48,Valid,False,True,False,False
49,Valid,False,True,False,False
50,Hallucination,True,True,True,True
51,Valid,False,True,False,False
52,Valid,False,True,False,False
53,Valid,False,True,False,False
54,Valid,False,True,False,False
55,Valid,False,True,False,False
56,Valid,False,True,False,False
57,Valid,False,True,False,False
58,Valid,False,True,False,False
59,Valid,False,True,False,False
60,Valid,False,True,False,False
61,Valid,False,True,False,False
62,Valid,False,True,False,False
63,Hallucination,True,True,True,True
64,Valid,False,True,False,False
65,Hallucination,True,True,True,True
66,Valid,False,True,False,False
67,Valid,False,True,False,False
68,Valid,False,True,False,False
69,Valid,False,True,False,False
70,Valid,False,True,False,False
71,Valid,False,True,False,False
72,Valid,False,True,False,False
73,Valid,False,True,False,False
74,Valid,False,True,False,False
75,Hallucination,True,True,True,True
76,Valid,False,True,False,False
77,Valid,False,True,False,False
78,Valid,False,True,False,False
79,Valid,False,True,False,False
80,Hallucination,True,True,True,True
81,Valid,False,True,False,False
82,Valid,False,True,False,False
83,Valid,False,True,False,False
84,Valid,False,True,False,False
85,Hallucination,True,True,True,True
86,Valid,False,True,False,False
87,Valid,False,True,False,False
88,Valid,False,True,False,False
89,Hallucination,True,True,True,True
90,Valid,False,True,False,False
91,Valid,False,True,False,False
92,Hallucination,True,True,True,True
93,Valid,False,True,False,False
94,Valid,False,True,False,False
95,Hallucination,True,True,True,True
96,Valid,False,True,False,False
97,Valid,False,True,False,False
98,Hallucination,True,True,True,True
99,Valid,False,True,False,False
